Brnd_Name,Total # of Manufacturers,2018 Spent on Drug,2019 Spent on Drug,2020 Spent on Drug,2021 Spent on Drug,2022 Spent on Drug
Apretude,1,$0.00,$0.00,$0.00,$0.00,"$10,219,459.68"
Apri,1,"$2,776,907.31","$2,369,441.00","$2,217,966.09","$2,156,890.26","$2,006,179.33"
Apriso,1,"$28,319,297.57","$32,244,133.37","$9,857,809.97","$11,795,457.77","$11,223,441.85"
Aptensio XR,1,"$15,540,678.93","$22,075,867.79","$18,633,480.57","$10,210,036.67","$5,338,573.82"
Aptiom,1,"$58,741,944.85","$80,908,691.82","$98,907,150.43","$106,513,016.21","$111,442,748.96"
Aptivus,1,"$488,857.56","$387,745.31","$332,980.81","$263,850.87","$241,030.66"
Aquasol A,1,$0.00,$0.00,$0.00,$0.00,"$197,746.29"
Aralast NP,1,"$4,025,469.26","$5,013,145.78","$5,008,780.19","$4,185,918.59","$3,629,059.77"
Aranesp,1,"$126,833,666.55","$69,988,705.83","$56,386,959.97","$46,801,810.10","$44,604,436.01"
Aristospan,1,"$195,702.13","$39,708.42","$9,886.30","$8,908.21","$24,996.65"
Arava,1,"$78,809.09","$54,924.13","$63,895.14","$58,253.92","$57,163.81"
Arazlo,1,$0.00,$0.00,"$98,542.16","$425,583.86","$811,275.81"
Arcalyst,1,$0.00,$0.00,$0.00,"$1,675,000.61","$11,789,222.35"
Argatroban,1,$0.00,$0.00,$0.00,$0.00,"$12,594.63"
Arginine,1,$0.00,$445.87,"$1,202.68",$982.88,$739.37
Aricept,1,"$161,079.81","$140,356.68","$119,890.42","$82,521.91","$48,768.28"
Arikayce,1,"$303,492.44","$9,172,512.17","$12,323,468.18","$12,838,217.63","$13,406,059.27"
Arimidex,1,"$83,726.04","$310,815.29","$328,982.49","$273,724.12","$183,976.17"
Aristada,1,"$105,334,954.11","$160,154,809.33","$214,557,667.83","$255,503,030.35","$280,261,390.25"
Aristada Initio,1,"$530,818.04","$2,997,462.21","$4,047,965.97","$5,198,663.04","$6,000,088.06"
Altoprev,1,"$229,578.11","$188,792.06","$209,757.98","$167,163.99","$263,967.09"
Altace,1,"$48,821.42","$50,810.60","$39,482.02","$31,187.82","$25,151.71"
Cefotetan,1,"$28,005.70","$241,700.14","$429,847.09","$232,807.36","$226,663.59"
Alrex,1,"$2,483,603.51","$2,215,351.54","$1,755,432.14","$2,342,108.50","$2,529,517.03"
Acular,1,"$67,541.37","$112,599.41","$87,999.51","$63,404.26","$324,998.48"
Acular Ls,1,"$3,688.99","$37,374.54","$15,376.15","$7,389.42","$32,222.37"
Acuvail,1,"$52,413.22","$32,624.06","$21,733.29","$18,608.11","$21,288.28"
Aczone,1,"$3,765,735.36","$3,388,037.30","$745,111.99","$68,379.11","$16,671.31"
Adacel Tdap,1,"$439,096.28","$197,934.00","$149,933.06","$108,749.43","$10,029.67"
Adakveo,1,$0.00,$0.00,"$13,454,012.76","$33,315,281.20","$34,145,015.08"
Adbry,1,$0.00,$0.00,$0.00,$0.00,"$6,076,924.60"
Adcetris,1,"$52,596,195.86","$64,392,542.30","$67,007,288.13","$70,385,380.48","$72,475,651.68"
Adcirca,1,"$54,066,041.07","$20,959,668.53","$14,420,179.18","$11,311,122.64","$10,311,914.10"
Adderall,1,"$3,801,524.52","$4,241,602.79","$4,730,292.65","$29,029,766.97","$39,469,705.46"
Adderall XR,1,"$360,376,589.99","$288,892,025.52","$199,777,750.75","$326,206,901.97","$409,079,069.46"
Adempas,1,"$39,341,237.87","$48,943,563.44","$60,694,364.72","$71,282,320.74","$80,312,912.73"
Adenocard,1,"$116,811.43","$71,963.28","$13,235.44","$9,765.62",$531.78
Adenoscan,1,"$70,195.34","$141,637.79","$162,787.37","$146,832.18","$59,843.60"
Adhansia XR,1,$0.00,"$104,870.07","$1,100,255.06","$3,283,510.31","$2,632,099.12"
Adhesive Tape,1,$0.00,$0.00,$0.00,$623.57,$329.44
Adlyxin,1,"$410,177.93","$739,910.67","$694,848.69","$1,089,080.14","$374,749.53"
Admelog,1,"$42,245,940.53","$157,506,556.43","$102,706,242.86","$74,981,516.02","$50,591,844.53"
Admelog Solostar,1,"$67,214,516.25","$238,451,104.71","$161,705,517.10","$143,464,149.25","$94,878,376.49"
Adrenalin Chloride,1,"$10,196.71","$276,126.18","$225,875.89","$270,781.44","$171,954.39"
Adrucil,1,"$1,867,144.25","$766,318.40","$522,046.47","$84,143.22","$5,793.56"
Adult Multivitamin Gummies,1,$0.00,$0.00,$0.00,$0.00,$246.38
Advair Diskus,1,"$446,598,789.82","$239,102,975.15","$174,244,908.64","$292,757,576.62","$373,670,836.69"
Actos,1,"$83,856.17","$66,421.95","$64,250.99","$61,155.36","$24,149.42"
Actonel,1,"$83,528.36","$61,829.80","$38,824.90","$30,731.21","$24,529.97"
Activella,1,$0.00,"$9,025.63","$12,984.26","$19,443.32","$15,213.70"
Acanya,1,"$392,760.62","$135,000.40","$141,051.08","$247,894.99","$298,874.75"
A And D Diaper Rash,1,$0.00,$90.59,$204.19,$67.04,$45.45
A-Hydrocort,1,"$20,449.42","$2,562.91","$32,241.56",$296.81,"$2,868.81"
A-Methapred,1,"$298,521.69","$362,575.42","$11,201.99","$11,953.96","$9,194.75"
Abelcet,1,"$419,811.06","$229,060.37","$150,432.96","$230,620.24","$93,767.66"
Abilify Maintena,1,"$361,385,055.34","$462,756,174.48","$525,814,654.94","$591,313,701.24","$664,317,845.71"
Abilify Mycite,1,$0.00,"$22,893.15","$122,978.17","$69,821.75","$37,050.55"
Abilify*,1,"$454,586,246.15","$221,868,678.01","$19,622,310.74","$13,966,309.33","$8,372,323.46"
Abraxane,1,"$53,535,752.57","$63,708,914.80","$67,150,672.11","$67,468,402.38","$33,702,537.94"
Absorica,1,"$8,868,026.20","$7,626,371.93","$8,070,077.20","$4,132,206.10","$1,264,772.61"
Absorica Ld,1,$0.00,$0.00,"$987,011.22","$3,042,402.57","$3,501,353.38"
Accolate,1,"$27,566.37","$21,968.33","$14,911.63","$9,485.63","$8,409.69"
Activase,1,"$8,386,824.34","$8,985,326.90","$8,240,927.66","$8,648,436.89","$7,137,248.77"
Accrufer,1,$0.00,$0.00,$0.00,"$6,373.54","$2,221,578.57"
Accutane,1,$0.00,$0.00,$0.00,"$57,397.88","$770,575.08"
Acetadote,1,"$63,354.47","$53,954.57","$90,397.84","$108,604.89","$74,480.01"
Acetamin-Caff-Dihydrocodeine,1,"$180,852.82","$149,993.32","$122,916.80","$80,108.10","$32,024.68"
Acetaminophen ER,1,$0.00,$0.00,$0.00,$0.00,$165.81
Actemra Actpen,1,$0.00,"$5,575,266.76","$18,907,150.68","$29,095,732.39","$32,745,031.14"
Actemra*,1,"$55,702,998.84","$56,655,609.95","$56,568,802.32","$58,661,823.66","$58,279,250.34"
Acthar,1,"$149,860,999.15","$158,390,635.68","$149,263,120.35","$127,914,580.81","$127,829,364.28"
Actimmune,1,"$55,346,941.05","$65,486,932.02","$63,654,945.00","$70,319,014.15","$69,825,392.39"
Actiq,1,"$395,163.64","$347,600.44","$172,627.88","$170,828.01","$180,841.11"
Advair HFA,1,"$112,356,885.57","$115,924,595.69","$147,989,426.99","$168,192,528.13","$201,960,737.04"
Advate,1,"$318,280,940.51","$264,770,225.10","$215,300,917.79","$196,766,901.55","$176,820,453.57"
Adynovate,1,"$119,790,962.90","$114,286,736.56","$92,118,415.30","$90,401,184.76","$89,833,649.72"
Allergy Relief Nasal Decongest,1,$0.00,$0.00,$0.00,"$9,480.28","$43,080.63"
Alcohol Wipes,1,$0.00,$0.00,$225.09,$409.52,$344.70
"Alcohol,Dehydrated",1,"$492,196.43","$998,854.66","$1,700,559.27","$1,501,154.75","$60,471.96"
Aldactazide,1,"$51,727.59","$75,832.02","$95,803.61","$96,866.37","$122,112.13"
Aldactone,1,"$28,129.15","$31,580.66","$46,834.56","$38,320.66","$32,823.57"
Aldurazyme,1,"$16,940,806.69","$22,646,436.69","$17,515,946.02","$18,625,397.31","$20,471,615.21"
Alecensa,1,"$21,899,317.88","$30,692,454.72","$35,513,126.79","$37,657,939.04","$42,450,191.68"
Alfentanil HCl,1,"$789,697.10","$39,594.12","$44,329.46","$11,962.68","$14,642.70"
Alimta,1,"$90,148,512.54","$96,729,189.35","$99,151,391.92","$97,124,513.92","$57,271,599.82"
Aliqopa,1,"$186,739.38","$218,767.60","$207,614.35","$50,781.39","$524,394.48"
Alkindi Sprinkle,1,$0.00,$0.00,"$25,000.07","$815,860.91","$2,661,390.86"
Allzital,1,$0.00,$0.00,$0.00,"$11,108.76","$14,473.38"
Albutein,1,"$976,555.85","$1,471,486.69","$2,114,490.80","$2,810,614.01","$2,630,460.93"
Alocril,1,"$93,424.80","$91,986.67","$53,738.86","$39,345.32","$13,004.95"
Alomide,1,"$129,500.83","$87,748.41","$25,544.96","$21,141.50","$23,651.00"
Alora,1,$0.00,"$20,831.71","$187,435.72","$118,234.44","$3,747.24"
Alphagan P,1,"$10,612,667.92","$11,950,862.62","$11,210,232.29","$11,290,623.36","$12,594,083.21"
Alphanate,1,"$46,428,135.12","$35,651,006.97","$28,832,118.60","$27,072,049.25","$21,085,494.54"
Alphanine SD,1,"$4,565,761.21","$6,618,646.85","$5,382,978.03","$7,179,278.67","$4,974,626.48"
Alprazolam Intensol,1,"$38,941.74","$62,484.31","$42,333.77","$32,284.54","$47,719.53"
Alprazolam XR,1,"$165,040.53","$177,431.22","$259,387.47","$271,748.19","$215,073.85"
Alprolix,1,"$12,961,805.21","$89,155,172.51","$105,241,093.98","$108,951,362.31","$110,104,802.53"
Alprostadil,1,"$26,243.38","$7,212.16",$654.26,$268.77,$686.27
Alcaine,1,"$48,095.44","$7,870.58","$10,799.64","$11,853.32","$5,265.82"
Alburx,1,"$1,377,812.38","$1,355,282.94","$2,835,685.06","$3,279,613.96","$3,386,082.21"
Adzenys ER,1,"$156,907.45","$340,702.96","$157,499.69","$120,339.47","$4,393.80"
Ajovy Autoinjector,1,$0.00,$0.00,"$4,803,448.88","$35,132,863.16","$63,567,010.28"
Adzenys XR-ODT,1,"$17,994,883.42","$15,928,801.16","$11,762,829.08","$11,940,658.11","$10,295,846.79"
Afinitor,1,"$135,136,401.22","$153,209,117.65","$95,207,895.44","$82,364,818.59","$48,647,736.82"
Afinitor Disperz,1,"$34,705,558.47","$58,826,388.96","$73,334,036.35","$71,477,334.55","$39,118,928.75"
Afrezza,1,"$1,736,585.61","$3,516,712.62","$3,827,444.72","$6,218,596.60","$7,449,471.68"
Afrin Saline Nasal Mist,1,$42.01,$66.90,$34.88,$53.71,$24.00
Afstyla,1,"$6,633,321.36","$10,785,743.08","$10,359,873.01","$9,303,332.12","$9,660,491.32"
Agrylin,1,"$5,365.42","$11,083.34","$89,998.09","$27,838.38","$11,206.63"
Aimovig Autoinjector,1,"$4,749,443.03","$51,635,104.00","$89,007,155.65","$117,847,337.00","$148,567,647.34"
Airduo Digihaler,1,$0.00,$0.00,"$36,988.27","$425,958.41","$970,049.55"
Airduo Respiclick,1,"$361,856.84","$718,535.29","$490,500.62","$362,844.52","$946,157.80"
Ajovy Syringe,1,"$597,510.68","$13,564,664.27","$19,822,451.45","$22,996,988.54","$23,659,055.40"
Albuminex,1,$0.00,$0.00,$0.00,"$107,048.78","$612,152.58"
Ak-Fluor,1,"$5,080.05","$121,298.48","$184,644.06","$194,155.50","$65,325.50"
Ak-Poly-Bac,1,"$1,905.61","$33,719.62","$110,610.99","$145,635.56","$3,272.34"
Aklief,1,$0.00,$0.00,"$386,815.47","$838,924.80","$1,606,093.08"
Akovaz,1,$0.00,$0.00,$0.00,"$10,977.55","$655,595.06"
Akten,1,"$38,535.67","$237,387.02","$346,178.05","$200,097.26","$153,021.33"
Albenza,1,$0.00,$0.00,"$50,014.26","$14,120.80","$5,588.20"
Albuked-25,1,"$70,879.51","$200,651.84","$371,413.58","$245,567.38","$269,059.37"
Albuked-5,1,"$3,268.59","$57,829.78","$57,747.00","$17,475.91","$11,828.49"
Albumin (Human),1,"$370,972.73","$455,073.73","$421,618.62","$1,045,552.57","$700,723.11"
Albuminar-25,1,"$330,735.03","$589,701.36","$330,834.42","$244,360.48","$184,476.77"
Atrovent HFA,1,"$71,132,177.82","$78,112,698.31","$82,669,910.24","$80,848,213.41","$74,085,266.63"
Aubagio,1,"$130,182,090.12","$143,598,444.02","$163,044,018.41","$174,714,587.52","$174,225,900.25"
Aubra,1,"$1,246,140.82","$391,136.58","$65,894.62","$73,076.49","$39,437.38"
Aubra Eq,1,"$89,779.34","$846,551.63","$1,220,936.67","$1,265,256.84","$1,048,600.50"
Butrans,1,"$25,252,042.08","$22,995,158.83","$29,094,893.38","$33,711,238.68","$31,723,111.46"
Bydureon Bcise,1,"$13,952,526.06","$32,884,057.90","$48,190,496.80","$79,098,180.10","$83,556,545.86"
Bydureon Pen,1,"$77,877,012.03","$106,284,496.82","$130,861,002.27","$39,560,287.90","$637,148.22"
Byetta,1,"$24,165,860.12","$22,878,161.88","$17,640,603.51","$16,866,531.98","$9,998,167.71"
Byfavo,1,$0.00,$0.00,$0.00,$577.39,$936.78
Bylvay,1,$0.00,$0.00,$0.00,"$1,060,127.89","$9,190,951.29"
Bystolic,1,"$12,130,609.84","$13,884,382.71","$14,810,819.87","$13,188,408.56","$5,558,569.48"
C-1000 With Rose Hips,1,$0.00,$0.00,$0.00,$0.00,$72.39
C-500,1,$0.00,$406.76,$965.05,$895.09,"$1,518.83"
C-Nate DHA,1,"$450,146.56","$503,644.34","$565,515.05","$546,434.76","$400,167.89"
Cabenuva,1,$0.00,$0.00,$0.00,"$8,174,974.70","$77,066,392.44"
Cablivi,1,$0.00,"$4,765,184.72","$9,988,118.95","$15,595,784.65","$21,417,525.29"
Cabometyx,1,"$35,323,627.17","$47,981,685.96","$56,074,907.90","$84,526,905.52","$108,059,113.47"
Caduet,1,"$41,558.29","$29,874.12","$15,591.98","$5,704.01","$6,254.81"
Cafcit,1,"$2,304.51",$0.00,$0.00,$0.00,$255.41
Cafergot,1,"$63,784.63","$58,371.20","$37,336.28","$9,198.61","$12,917.51"
Caffeine And Sodium Benzoate,1,"$4,362.49","$14,133.63","$47,474.17","$37,802.20","$32,234.27"
Cal Mag Zinc-D3,1,$0.00,$0.00,$0.00,$0.00,$220.80
Calan SR,1,$0.00,$0.00,$0.00,"$6,447.76","$23,202.56"
Calcidol,1,"$2,370.92","$5,149.08","$6,970.35","$17,079.58","$23,788.34"
Calcitrate,1,"$21,008.22","$24,150.17","$31,770.33","$15,403.71","$4,200.35"
Calcitrate + Vit D,1,"$20,279.55","$17,482.57","$6,701.62","$3,307.48",$943.65
Calcium 250-Vit D3,1,"$4,059.80","$4,024.73","$3,884.68","$3,647.78","$3,570.06"
Busulfan,1,$0.00,"$10,735.63","$17,147.89","$28,067.29","$20,000.62"
Buprenex,1,"$70,918.26","$78,351.28","$39,095.11","$52,116.01","$77,738.25"
Buphenyl,1,"$4,528,660.73","$5,151,833.51","$5,243,016.99","$4,454,514.70","$4,636,756.65"
Brilinta,1,"$54,422,722.30","$75,629,711.96","$94,049,804.40","$111,988,143.47","$119,207,363.97"
Bosulif,1,"$19,804,034.92","$27,020,592.37","$33,412,290.91","$39,788,817.75","$46,370,495.39"
Botox Cosmetic,1,"$1,759,162.11","$1,312,909.31","$1,113,616.59","$1,527,483.86","$1,541,654.10"
Bp 10-1,1,"$744,605.19","$100,159.74","$162,624.39","$91,348.45","$106,697.54"
Braftovi,1,"$818,684.24","$7,262,690.19","$12,014,536.65","$17,305,842.77","$21,901,423.57"
Breo Ellipta,1,"$210,740,187.16","$221,081,414.11","$172,720,751.07","$122,230,643.69","$79,056,146.51"
Brevital Sodium,1,"$17,222.46","$48,982.45","$75,863.43","$128,158.24","$206,527.09"
Brexafemme,1,$0.00,$0.00,$0.00,"$102,899.95","$933,566.27"
Breztri Aerosphere,1,$0.00,$0.00,"$290,234.20","$12,795,693.72","$35,379,595.29"
Bridion,1,"$1,999,535.11","$7,492,599.22","$12,916,809.85","$19,044,550.09","$23,540,228.89"
Briellyn,1,"$64,103.54","$66,392.64","$73,591.32","$98,447.76","$96,037.45"
Brineura,1,"$795,110.98","$1,553,655.32","$1,527,154.99","$2,186,481.01","$2,524,635.42"
Budesonide-Formoterol Fumarate,1,$0.00,$0.00,"$220,843,131.25","$232,862,647.58","$232,102,811.68"
Brisdelle,1,"$35,702.05","$24,124.04","$16,528.81","$16,952.18","$7,425.39"
Briviact*,1,"$40,260,697.39","$64,380,871.09","$88,728,917.52","$114,965,755.71","$151,324,095.78"
Bromfed DM,1,"$247,615.46","$129,503.72","$73,024.43","$4,754.29","$2,175.62"
Bromsite,1,"$262,493.34","$340,353.73","$319,310.04","$251,617.28","$279,842.55"
Bronchitol,1,$0.00,$0.00,$0.00,"$135,853.69","$271,414.12"
Brovana,1,"$23,515,311.68","$22,009,883.89","$23,982,791.44","$16,369,448.89","$4,072,215.26"
Brukinsa,1,$0.00,$0.00,"$342,448.99","$2,197,172.23","$8,595,274.28"
Bryhali,1,$0.00,"$199,970.25","$146,746.47","$122,230.42","$73,957.47"
Bss,1,"$146,102.10","$1,137,589.06","$1,778,915.18","$2,321,838.68","$2,978,015.59"
Bss Plus,1,"$34,504.42","$125,896.40","$107,763.57","$118,837.00","$528,638.99"
Calcium 500 + Vit D,1,"$1,134.58","$4,441.23","$7,234.34","$5,942.40","$1,563.68"
Calcium Citrate - Vitamin D,1,$280.37,$398.44,"$1,074.17",$894.56,$659.20
Calcium Citrate - Vitamin D3,1,"$2,785.80","$6,898.83","$10,257.02","$9,485.52","$12,506.78"
Catapres,1,"$131,079.20","$143,066.53","$94,762.47","$2,826.70","$1,221.67"
Cardura,1,$0.00,$0.00,$0.00,$0.00,"$5,382.14"
Cardura XL,1,"$61,291.45","$69,549.87","$71,469.32","$78,548.72","$91,635.76"
Carglumic Acid,1,$0.00,$0.00,$0.00,$0.00,"$908,491.12"
Carnitor,1,"$453,715.87","$300,195.71","$221,505.55","$184,427.55","$134,259.81"
Carnitor SF,1,"$582,917.72","$595,566.74","$422,757.92","$305,010.01","$252,851.63"
Carnitor*,1,"$5,967,952.59","$4,521,943.14","$4,408,742.39","$5,156,783.74","$6,453,901.90"
Carospir,1,"$1,041,334.90","$2,443,566.65","$3,867,799.32","$4,917,934.30","$5,733,467.96"
Carteolol HCl,1,"$9,219.06","$10,052.98","$17,436.38","$22,013.18","$17,194.75"
Cartia Xt,1,"$3,217,422.25","$2,383,202.23","$1,800,297.49","$818,099.77","$238,351.52"
Casirivimab (Regn10933) (Eua),1,$0.00,$0.00,$0.00,"$1,813.11",$6.85
Catapres-Tts 1,1,"$2,870,057.20","$3,245,546.21","$2,726,050.44","$2,674,450.02","$1,761,857.72"
Cardizem CD,1,"$159,205.92","$108,698.47","$83,675.42","$57,256.09","$59,763.87"
Catapres-Tts 2,1,"$4,124,337.18","$4,620,333.79","$4,105,648.01","$4,147,321.32","$2,546,455.17"
Catapres-Tts 3,1,"$6,518,934.18","$7,268,313.33","$6,259,850.77","$5,954,876.66","$3,955,446.23"
Cathflo Activase,1,"$12,702,308.56","$13,419,618.85","$12,555,787.00","$13,151,408.57","$11,945,382.26"
Caverject,1,"$13,136.14","$10,587.61","$4,283.04","$4,217.92","$6,036.31"
Caya Contoured,1,"$7,793.38","$16,301.86","$15,189.86","$16,526.85","$16,623.55"
Cayston,1,"$47,377,182.17","$51,982,566.20","$48,345,773.31","$43,205,878.64","$38,997,861.73"
Cefaclor ER,1,"$15,082.11","$11,611.50","$9,581.38","$10,697.45","$10,534.03"
Cefepime,1,"$794,687.16","$759,166.76","$675,172.24","$707,585.99","$621,887.99"
Cefepime-Dextrose,1,"$189,391.38","$243,399.28","$334,935.70","$328,638.64","$300,325.71"
Cefotan,1,"$11,602.56","$34,537.67","$44,899.26","$6,868.37","$33,173.89"
Cardizem La,1,"$270,200.48","$252,080.75","$188,102.72","$149,423.29","$158,195.90"
Cardizem,1,"$25,797.30","$22,936.87",$481.73,$0.00,"$10,648.86"
Calcium Citrate-Vitamin D3,1,$0.00,$0.00,$0.00,"$2,624.15","$1,408.97"
Camrese Lo,1,"$510,135.20","$402,418.55","$325,267.56","$370,215.08","$320,103.63"
Calcium Disodium Versenate,1,"$350,912.82","$164,627.20","$46,720.19","$59,390.58","$94,698.00"
Calcium Gluconate-NaCl,1,$0.00,"$56,154.44","$336,392.44","$711,436.04","$1,137,555.82"
Caldolor,1,"$1,392,039.28","$610,384.95","$109,659.44","$165,968.43","$212,874.19"
Calphron,1,"$10,991.05","$20,671.94","$34,301.67","$14,188.76","$9,179.50"
Calprotect,1,$0.00,$0.00,$0.00,$0.00,$199.75
Cambia,1,"$3,324,415.00","$3,851,914.81","$4,043,347.20","$3,596,529.64","$2,630,018.69"
Camcevi,1,$0.00,$0.00,$0.00,$0.00,"$110,152.76"
Camila,1,"$1,096,532.24","$993,454.71","$350,164.23","$289,745.01","$249,790.90"
Camptosar,1,"$1,392,198.90","$2,255,781.02","$2,924,196.09","$1,586,501.35","$1,150,375.69"
Camrese,1,"$1,474,137.13","$1,186,519.10","$935,864.57","$591,656.31","$408,876.76"
Camzyos,1,$0.00,$0.00,$0.00,$0.00,"$1,205,046.10"
Cardiolite,1,"$414,261.26","$418,152.90","$517,372.06","$794,573.34","$1,056,348.30"
Canasa,1,"$16,714,078.57","$3,913,045.19","$2,015,409.06","$2,692,952.06","$4,594,800.35"
Cancidas,1,"$613,090.73","$141,425.53","$106,667.65","$95,084.23","$65,160.44"
Capex Shampoo,1,"$483,119.47","$492,592.97","$77,950.95","$14,994.69","$21,498.26"
Caplyta,1,$0.00,$0.00,"$7,425,996.35","$35,010,240.51","$106,514,198.70"
Caprelsa,1,"$2,212,083.67","$2,613,105.38","$3,011,136.12","$2,871,531.88","$1,853,806.77"
Carafate,1,"$40,977,055.73","$42,927,641.30","$9,863,214.08","$7,111,001.32","$8,247,513.74"
Carbaglu,1,"$11,044,448.89","$14,836,195.43","$15,922,377.20","$24,326,599.48","$21,457,228.21"
Carbatrol,1,"$2,945,626.40","$2,617,792.45","$2,258,680.03","$3,307,869.79","$3,317,594.31"
Carboprost Tromethamine,1,$0.00,$0.00,$0.00,"$3,397.44","$4,091.00"
Carboxymethylcellulose Sodium,1,$0.00,$0.00,$0.00,$0.00,$517.14
Bonjesta,1,"$1,397,099.38","$4,391,342.18","$3,447,837.72","$4,495,617.65","$3,861,232.63"
Boniva,1,"$34,191.16","$37,229.52","$19,595.70","$10,562.05","$4,676.14"
Bloxiverz,1,$0.00,$0.00,$0.00,"$22,975.20","$311,776.74"
Bacitracin-Polymyxin,1,"$266,005.38","$296,846.27","$265,166.68","$304,188.78","$389,473.05"
Azelex,1,"$4,913,097.25","$4,989,254.73","$1,742,203.25","$342,616.03","$51,761.62"
Azilect,1,"$195,201.66","$106,789.42","$68,769.88","$58,458.68","$34,506.02"
Azstarys,1,$0.00,$0.00,$0.00,"$402,960.72","$7,838,678.10"
Azulfidine,1,"$10,413.55","$7,011.29","$30,651.27","$113,600.31","$20,295.75"
Azurette,1,"$592,393.85","$492,538.53","$418,159.90","$399,984.30","$310,878.16"
B-12,1,$0.00,$0.00,$0.00,$0.00,$110.58
B-Complex,1,"$19,874.56","$24,909.31","$31,921.25","$22,727.42","$14,853.33"
B-Complex Plus Vitamin C,1,$0.00,$49.07,$68.95,$41.06,$59.84
BCG (Tice Strain),1,"$1,374,460.00","$813,133.32","$943,859.49","$1,220,259.34","$1,165,677.81"
Bacitracin Zinc,1,$0.00,$0.00,$0.00,$217.54,$82.54
Bacmin,1,"$225,103.78","$156,126.04","$148,224.73","$142,904.29","$33,650.28"
Azasan,1,"$1,036,849.41","$1,413,642.40","$1,771,522.25","$1,547,096.03","$290,111.51"
Bactrim Ds,1,"$1,524.10","$1,226.81","$1,437.23",$984.36,$878.75
Bafiertam,1,$0.00,$0.00,$0.00,"$236,420.47","$935,517.18"
Balance B-50,1,"$1,778.48","$1,219.21",$328.70,$751.73,"$1,626.66"
Balanced Salt,1,$0.00,"$34,229.65","$23,816.52","$8,432.67","$1,354.79"
Balcoltra,1,"$211,908.57","$1,833,788.66","$4,355,194.89","$8,980,159.18","$10,693,706.94"
Balneol,1,$0.00,$165.81,$0.00,$0.00,$338.22
Balsam Peru-Castor Oil,1,$0.00,"$4,833.03","$10,924.16","$25,135.80","$12,908.61"
Balversa,1,$0.00,"$1,186,322.75","$2,701,766.93","$3,326,838.04","$2,992,333.13"
Balziva,1,"$427,423.00","$363,203.45","$304,654.62","$361,432.19","$281,231.02"
Bamlanivimab (Eua),1,$0.00,$0.00,$598.09,"$5,031.89","$5,375.69"
Azasite,1,"$307,354.59","$589,484.78","$608,607.38","$652,004.15","$224,078.45"
Azactam,1,"$142,592.16","$142,740.46","$139,611.93","$144,348.11","$96,641.83"
Bandages Sheer,1,$0.00,$0.00,$0.00,$136.26,$121.96
Avar,1,"$7,325.72","$6,930.23","$9,238.30","$12,340.71","$13,256.47"
Augmentin,1,"$2,407,171.57","$1,196,041.33","$57,471.39","$1,857.11","$1,882.50"
Aurovela,1,$0.00,"$29,984.54","$52,291.84","$522,293.03","$452,384.86"
Aurovela 24 Fe,1,$0.00,"$18,160.37","$393,415.78","$1,770,449.14","$624,042.61"
Aurovela Fe,1,$0.00,"$23,184.48","$1,802,525.88","$4,276,328.22","$902,179.64"
Auryxia,1,"$8,580,524.32","$13,330,029.38","$18,570,041.86","$21,863,760.63","$20,472,238.44"
Austedo,1,"$26,845,827.40","$62,589,796.43","$104,110,996.20","$131,724,074.69","$193,040,918.75"
Autoshield Duo Pen Needle,1,$0.00,$0.00,"$3,826.90","$5,167.94","$4,488.79"
Auvelity,1,$0.00,$0.00,$0.00,$0.00,"$531,786.58"
Avalide,1,"$16,436.21","$18,845.98","$16,302.17","$19,591.11","$17,285.60"
Avapro,1,"$70,283.12","$71,536.58","$42,944.70","$40,750.97","$34,985.62"
Avastin,1,"$236,391,464.21","$231,580,866.77","$162,212,615.66","$107,293,667.91","$72,516,249.33"
Ayvakit,1,$0.00,$0.00,"$1,830,219.89","$3,313,287.59","$6,727,905.88"
Aveed,1,"$510,505.97","$708,528.32","$843,479.44","$1,003,145.45","$1,206,197.06"
Aviane,1,"$2,153,766.82","$1,434,167.99","$1,463,101.97","$1,595,884.13","$1,597,695.22"
Avita,1,"$68,506.20","$71,201.51","$69,677.59","$70,561.53","$39,826.15"
Avodart,1,"$66,319.77","$48,132.67","$27,354.00","$19,107.49","$20,351.87"
Avonex,1,"$34,312,721.09","$33,284,164.66","$27,956,819.36","$25,515,567.12","$21,256,635.84"
Avonex Pen,1,"$62,441,632.73","$57,000,463.23","$51,135,845.42","$45,187,556.82","$38,648,267.05"
Avsola,1,$0.00,$0.00,"$76,098.18","$7,744,004.94","$21,937,875.84"
Avycaz,1,"$3,067,129.81","$4,198,988.81","$3,287,434.05","$8,875,610.60","$7,038,617.39"
Axumin,1,$0.00,"$35,868.45","$142,540.83","$332,681.62","$195,349.21"
Aygestin,1,"$9,699.49","$18,460.10","$6,767.03","$8,551.87","$4,868.39"
Bandages,1,$0.00,$0.00,$65.56,$497.95,$547.84
Banzel,1,"$184,950,797.61","$202,752,565.54","$216,092,010.61","$149,027,462.70","$91,194,497.23"
Blisovi Fe,1,"$5,600,051.01","$4,707,433.66","$3,860,008.34","$4,244,027.35","$5,001,188.90"
Biafine,1,"$3,402.93","$5,061.64","$2,627.82","$1,279.65","$1,040.94"
Besivance,1,"$598,267.53","$592,612.87","$491,276.19","$453,270.21","$628,920.31"
Besponsa,1,"$2,364,413.62","$4,687,474.95","$5,836,538.13","$6,821,096.10","$5,932,889.40"
Besremi,1,$0.00,$0.00,$0.00,$0.00,"$2,897,498.62"
